colony,location,subcolony,nest,begin,result,result_st,result_dt,chick1size,chick2size,empty_dt,ad1,ad2,note
"CROZ","M","18",71362,"1E","CR8?","G",12/29/2021,"MEL2","GF1",01/02/2022,"71362","UB",""
"CROZ","M","20",48391,"1E","CR1?","G",01/03/2022,"PA","",01/06/2022,"48391","UB",""
"CROZ","M","17",69555,"1E","CR1?","G",12/29/2021,"PA+","",01/02/2022,"69555","UB",""
"CROZ","M","8",65912,"1E","FAIL","G",01/02/2022,"GF1","",01/06/2022,"65912","UB","ASSUME FAIL BECAUSE CHICK SIZE"
"CROZ","M","18",70545,"1E","FAIL","BR",01/02/2022,"GF1","OR2",01/06/2022,"70545","UB",""
"CROZ","M","23",50395,"1E","CR1?","BR",01/06/2022,"MEL1","",01/10/2022,"50395","UB",""
"CROZ","M","39",66038,"2E","FAIL","BR",12/29/2021,"OR1","",01/02/2022,"66038","UB","ASSUME FAIL CHICK SIZE"
"CROZ","M","23",51491,"1E","FAIL","G",01/02/2022,"GF1","OR2",01/06/2022,"51491","UB","CHX TOO SMALL :("
"CROZ","M","23",72148,"1E","CR1?","G",01/02/2022,"PA","",01/06/2022,"72148","UB",""
"CROZ","M","8",69286,"1E","FAIL","BR",01/02/2022,"OR2","",01/06/2022,"69286","UB","ASSUME FAIL CHICK SIZE"
"CROZ","C","",69361,"1E","UNK","BR",01/03/2022,"GF1","GF1",01/07/2022,"69361","UB",""
"CROZ","M","20",75458,"1E","FAIL","INC",12/09/2021,"","",12/20/2021,"75458","UB",""
"CROZ","M","2",69828,"1E","CR1?","G",01/06/2022,"PA","",01/10/2022,"69828","UB","ASSUME CR CHICK SIZE"
"CROZ","P","",5902,"1E","FAIL","BR",12/25/2021,"OR2","OR2",12/30/2021,"5902","UB",""
"CROZ","M","8",70633,"2E","FAIL","INC",12/20/2021,"","",01/05/2022,"70633","UB",""
"CROZ","M","40",70685,"2E","CR1?","BR",01/02/2022,"MEL1","",01/06/2022,"70685","UB","ASSUME CR CHICK SIZE"
"CROZ","L","LIS",66199,"1E","FAIL","G",01/07/2022,"GF1","",01/13/2022,"66199","UB",""
"CROZ","M","36",70880,"1E","FAIL","BR",01/06/2022,"OR1","OR1",01/10/2022,"70880","UB","ASSUME FAIL, CHICK SIZE"
"CROZ","B","",72039,"2E","CR2?","BR",12/30/2021,"MEL2","GF2",01/05/2022,"72039","UB",""
"CROZ","M","2",71341,"1E","CR2?","INC",11/10/2021,"MEL2","MEL1",01/06/2022,"71341","UB","ASSUME CR, CHICK SIZE"
"CROZ","M","2",71632,"1E","FAIL","BR",12/24/2021,"OR1","",01/02/2022,"71632","UB",""
"CROZ","M","2",71915,"1E","FAIL","BR",12/29/2021,"OR2","",01/02/2021,"71915","UB","ASSUME FAIL, CHICK SIZE"
"CROZ","M","5",31884,"2E","CR8?","G",01/02/2022,"MEL","",01/06/2022,"31884","UB",""
"CROZ","N","",47953,"2E","CR8?","BR",12/29/2021,"GF2","GF1",01/03/2022,"47953","UB",""
"CROZ","M","8",72079,"1E","CR1?","G",01/06/2022,"MEL1","",01/10/2022,"72079","UB",""
"CROZ","M","3",49012,"2E","FAIL","INC",01/10/2022,"","",01/17/2022,"49012","UB",""
"CROZ","P","",50494,"1E","CR1?","BR",01/03/2022,"GF2","",01/07/2022,"50494","UB",""
"CROZ","M","1",72140,"2E","FAIL","BR",01/02/2022,"OR2","OR2",01/06/2022,"72140","UB",""
"CROZ","D","",51548,"2E","CR8?","BR",01/02/2022,"GF2","GF1",01/07/2022,"51548","UB",""
"CROZ","G","",62089,"1E","FAIL","BR",01/02/2022,"GF1","OR1",01/07/2022,"62089","UB","ASSUMED FAIL CH SIZE, NOT SURE GF WAS ITS CH, STILL ON 1E 12/23"
"CROZ","M","1",72158,"2E","CR1?","BR",01/10/2022,"GF2","",01/17/2022,"72158","UB",""
"CROZ","M","2",72815,"1E","FAIL","BR",01/06/2022,"OR2","",01/13/2022,"72815","UB",""
"CROZ","M","31",65778,"2E","FAIL","BR",12/29/2021,"OR","OR",01/02/2022,"65778","UB","CHX TOO SM TO CR EVEN WITH NOT GIVING THE ORANGES A NUMBER"
"CROZ","M","1",72873,"2E","CR1?","BR",01/13/2022,"MEL1","",01/17/2022,"72873","UB","ASSUME CR, CHICK SIZE"
"CROZ","M","34-35",65852,"1E","CR1?","G",01/06/2022,"PA","",01/10/2022,"65852","UB",""
"CROZ","L","",65934,"2E","CR1?","BR",01/07/2022,"MEL1","",01/13/2022,"65934","UB",""
"CROZ","M","WB2",66144,"2E","CR8?","G",01/02/2022,"GF2","GF1",01/06/2022,"66144","UB",""
"CROZ","M","2",74341,"9E","UNK","INC",12/09/2021,"","",12/09/2021,"74341","UB","PROBABLY NEVER ACTIVE. SEEN ONCE AS INC 9"
"CROZ","HK","",66336,"2E","CR1?","BR",01/03/2022,"MEL1","",01/11/2022,"66336","UB",""
"CROZ","N","",70516,"2E","CR1?","BR",01/07/2022,"MEL1","",01/13/2022,"70516","UB",""
"CROZ","M","2",74644,"2C","FAIL","BR",01/06/2022,"OR2","",01/10/2022,"74644","UB","ASSUME FAIL, CHICK SIZE"
"CROZ","M","3",70770,"2E","CR8?","G",01/06/2022,"GF2","",01/10/2022,"70770","UB",""
"CROZ","M","MIS",70996,"2E","FAIL","BR",12/29/2021,"OR2","OR2",01/02/2022,"70996","UB",""
"CROZ","C","",74765,"2C","FAIL","BR",12/30/2021,"GF1","",01/03/2022,"74765","UB",""
"CROZ","M","3A",71439,"1E","FAIL","INC",12/09/2021,"","",12/20/2021,"71439","UB",""
"CROZ","M","1",74912,"1E","FAIL","BR",01/10/2022,"GF1","",01/17/2021,"74912","UB","OFFICIAL STATUS = FAIL BUT PRETTY CERTAIN I SAW THIS CHICK WANDERING NEXT TO NEST AS GF2. SYSTEM DID THIS BIRD DIRTY."
"CROZ","M","3A",71462,"1E","FAIL","BR",01/06/2022,"GF1","",01/10/2022,"71462","UB",""
"CROZ","C","",75266,"1E","CR8?","BR",01/07/2022,"GF2","OR1",01/11/2022,"75266","UB","ASSUME CR 1, FAIL 1 DUE TO CHX SIZES"
"CROZ","M","5",71485,"1E","CR1?","BR",12/29/2021,"GF2","",01/02/2022,"71485","UB",""
"CROZ","M","8",79162,"1E","CR1?","BR",01/06/2022,"GF2","",01/10/2022,"79162","UB","ASSUME CR, CHX SIZE"
"CROZ","M","2",79476,"2E","FAIL","INC",11/30/2021,"","",12/05/2021,"79476","UB",""
"CROZ","M","38",79928,"9E","UNK","INC",12/09/2021,"","",/  /,"79928","UB","PROBABLY NEVER ACTIVE. SEEN ONCE AS INC 9"
"CROZ","L","LCITY",71497,"2E","CR8?","G",01/03/2022,"GF2","",01/07/2022,"71497","UB",""
"CROZ","L","",74580,"2E","FAIL","BR",01/07/2022,"OR2","OR1",01/13/2022,"74580","UB","CHX TOO SM TO CR"
"CROZ","L","",74636,"2E","FAIL","BR",12/30/2021,"GF1","OR1",01/03/2022,"74636","UB","ASSUMED FAIL CH SIZE"
"CROZ","M","31A",74729,"2E","CR8?","BR",01/02/2022,"GF2","OR2",01/06/2022,"74729","UB",""
"CROZ","M","7",74797,"1E","FAIL","INC",01/02/2022,"","",01/06/2022,"74797","UB",""
"CROZ","M","7",74986,"1E","FAIL","BR",12/24/2021,"","",12/29/2021,"74986","UB","ONLY BR9 COULD HAVE FAILED ON INC"
"CROZ","M","4A",75210,"8E","FAIL","BR",01/13/2022,"OR1","",01/17/2022,"75210","UB",""
"CROZ","M","33",75294,"2E","CR1?","G",01/06/2022,"MEL1","",01/10/2022,"75294","UB",""
"CROZ","M","31",75431,"2E","CR8?","BR",01/02/2022,"GF2","OR2",01/06/2022,"75431","UB",""
"CROZ","M","29",75443,"1E","UNK","P/INC",11/26/2021,"","",11/29/2021,"75443","UB","POSSIBLY SAT ON NOT ITS EGG FOR A FEW DAYS, RAN OFF DURING FLAGGING, MAYBE SHOULDN'T BE COUNTED AS A BREEDER"
"CROZ","M","29",75484,"1E","FAIL","BR",01/10/2022,"OR2","OR1",01/13/2022,"75484","UB","ASSUMED FAIL CH SIZE"
"CROZ","M","3A",78189,"1E","FAIL","BR",12/24/2021,"LEM","",12/29/2021,"78189","UB",""
"CROZ","M","27",79335,"1E","FAIL","BR",01/10/2022,"GF1","OR2",01/17/2022,"79335","UB","ASSUMED FAIL CH SIZE BUT MISSED A CHECK ON THE 13TH THAT COULD HAVE MADE IT A GF2"
"CROZ","M","3",79550,"2E","CR8?","G",01/06/2022,"MEL2","MEL1",01/20/2022,"79550","UB","NOT SURE SECOND CH WAS THEIRS SO JUST SAYING THEY GOT AT LEAST ONE BUT BB SEEN AROUND AFTER NOT W CHX, A SUSPICIOUS ONE"
"CROZ","EROO","",31087,"1E","UNK","INC",11/28/2021,"","",01/06/2022,"31087","UB","FLAG OUT, LONG TIME BETWEEN CHECKS"
"CROZ","P","",46746,"2E","FAIL","INC",11/22/2021,"","",12/25/2022,"46746","UB","MISSED CHECKS, COULD HAVE FAILED ON CHX"
"CROZ","P","",71376,"1E","UNK","INC",12/25/2021,"","",12/30/2022,"71376","UB","ACTIVE ST ON ONE CHECK, NEVER SEEN PAIRED EARLY SEASON, NOT SURE ITS EGG AND IF IT WAS ACTUALLY A BREEDER"
"CROZ","L","",48221,"9E","UNK","INC",12/06/2021,"","",12/23/2021,"48221","UB","ONLY 9E NEVER CONFIRMED BREEDING, BB SEEN ON MT NEST, FAIL OR NB"
"CROZ","M","7",48379,"2E","FAIL","BR",12/29/2021,"GF1","",01/02/2022,"48379","UB","ASSUMED FAIL CH SIZE BUT MAY HAVE CR A GF2 THEN STAYED BR A SHRINKING OR TO LEM"
"CROZ","B","BCITY",48840,"2E","CR8?","BR",01/03/2022,"GF2","OR2",01/07/2022,"48840","UB",""
"CROZ","N","",50197,"2E","FAIL","BR",01/03/2022,"GF1","OR2",01/07/2022,"50197","UB","ASSUMED FAIL CH SIZE"
"CROZ","M","1",50936,"1E","CR8?","G",12/29/2021,"MEL","",01/02/2022,"50936","UB",""
"CROZ","B","",75108,"1E","FAIL","INC",01/07/2022,"","",01/13/2022,"75108","UB",""
"CROZ","EROO","",51373,"1E","FAIL","INC",01/06/2022,"","",/  /,"51373","UB","STILL INC ON LAST CHECK AKA STILL ACTIVE TECHNICALLY BUT ASSUMED FAIL DUE TO EOS"
"CROZ","M","31",65178,"9E","UNK","INC",11/26/2021,"","",/  /,"65178","UB","SEEN ONCE WHOLE SEASON 9E, PROBABLY NB"
"CROZ","M","40",65272,"1E","FAIL","BR",01/02/2022,"OR1","",01/06/2022,"65272","UB","CH TOO SM TO CR"
"CROZ","B","",71381,"2E","FAIL","BR",01/03/2022,"GF1","",01/07/2022,"71381","UB","ASSUMED FAIL CH SIZE"
"CROZ","C","",69362,"9E","UNK","INC",11/30/2021,"","",/  /,"69362","UB","SEEN ONCE WHOLE SEASON 9E, PROBABLY NB OR MISREAD AND IS BREEDER 69361"
"CROZ","C","",65831,"1E","FAIL","BR",12/30/2021,"OR2","OR1",01/03/2022,"65831","UB","CHX TOO SM TO CR"
"CROZ","M","MIS",66027,"2E","CR1?","BR",01/02/2022,"MEL2","",01/06/2022,"66027","UB",""
"CROZ","C","",69449,"2E","FAIL","BR",12/30/2021,"GF1","",01/03/2022,"69449","UB","ASSUMED FAIL CH SIZE"
"CROZ","E","",70147,"1E","CR8?","BR",12/30/2021,"MEL1","",01/03/2022,"70147","UB",""
"CROZ","M","23",74995,"2E","FAIL","G",01/13/2022,"GF1","",01/17/2022,"74995","UB",""
"CROZ","B","",73352,"2E","CR1?","BR",12/30/2021,"MEL2","",01/03/2022,"73352","UB",""
"CROZ","L","LIS",65817,"1E","CR1?","BR",01/03/2022,"GF2","",01/07/2022,"65817","UB",""
"CROZ","L","LCITY",70189,"1E","FAIL","BR",01/07/2022,"GF1","",01/13/2022,"70189","UB",""
"CROZ","M","39",70349,"2E","CR1?","BR",01/02/2022,"GF2","",01/06/2022,"70349","UB",""
"CROZ","L","LBCH",70447,"2E","FAIL","P/BR",12/30/2021,"OR1","LEM",01/03/2022,"70447","UB",""
"CROZ","M","WB2",71091,"2E","FAIL","BR",01/02/2022,"GF1","",01/06/2022,"71091","UB",""
"CROZ","C","",71329,"1E","CR1?","BR",01/03/2022,"MEL1","",01/11/2022,"71329","UB",""
"CROZ","QR","",71721,"2E","CR1?","BR",01/03/2022,"MEL2","",01/07/2022,"71721","UB",""
"CROZ","M","40",71896,"2E","CR1?","BR",01/02/2022,"GF2","OR2",01/06/2022,"71896","UB",""
"CROZ","M","3A",72030,"2E","FAIL","INC",12/01/2021,"","",12/05/2022,"72030","UB",""
"CROZ","L","LBCH",72183,"1E","CR1?","BR",12/30/2021,"GF2","",01/03/2022,"72183","UB","NOT CHECKED 12/08 - 12/30, SO COULD HAVE HAD 2E AT SOME POINT?"
"CROZ","L","",74569,"1E","CR1?","G",11/30/2021,"GF2","",01/07/2022,"74569","UB","BB NOT SEEN AFTER 11/30, REALLY TRUSTING FLAG PLACEMENT. WENT INC 9 TO BR GF1 IN 7 DAYS."
"CROZ","B","",65464,"1E","CR8?","BR",12/30/2021,"GF2","",01/03/2022,"65464","UB",""
"CROZ","M","39",66102,"1E","FAIL","BR",01/06/2022,"OR2","OR2",01/10/2022,"66102","UB","ASSUMED FAIL FROM CHX SIZE"
"CROZ","M","38",69928,"1E","FAIL","BR",01/02/2022,"GF1","",/  /,"69928","UB","ASSUMED FAIL FROM CH SIZE; LAST RECORD 01/06 WAS INC9, NEVER MT"
"CROZ","B","",70297,"2E","FAIL","BR",12/30/2021,"GF1","OR2",01/03/2022,"70297","UB","ASSUMED FAIL FROM CHX SIZE"
"CROZ","L","",70437,"8E","CR8?","BR",01/03/2022,"GF2","",01/07/2022,"70437","UB","BB NEVER SEEN ON CHX"
"CROZ","EROO","",70578,"1E","UNK","INC",11/27/2021,"","",01/06/2022,"70578","UB","NOT CHECKED ENOUGH TO GIVE OUTCOME"
"CROZ","QR","",71050,"2E","CR8?","BR",12/30/2021,"MEL2","",01/03/2022,"71050","UB",""
"CROZ","QR","",71271,"2E","UNK","INC",12/01/2021,"","",/  /,"71271","UB","INC2 ON 12/01 IS ONLY RECORD OF THIS BIRD NOT GPSD AS NEW, UNK OUTCOME, PROBABLY MISREAD AND SHOULD BE 71721 BUT 71271 IS A REAL BIRD BG FIXED IN 2015"
"CROZ","L","LHUMP",71528,"1E","FAIL","BR",01/07/2022,"OR2","",01/13/2022,"71528","UB","ASSUMED FAIL, CH TOO SM"
"CROZ","B","",73059,"2E","FAIL","BR",01/03/2022,"GF1","",01/07/2022,"73059","UB","ASSUMED FAIL CH SIZE"
"CROZ","B","",74659,"1E","CR8?","BR",01/07/2022,"GF2","OR1",01/11/2022,"74659","UB",""
"CROZ","B","",74752,"2E","FAIL","BR",01/03/2022,"OR2","OR2",01/07/2022,"74752","UB",""
"CROZ","B","",74787,"2E","FAIL","P/INC",11/22/2021,"","",11/28/2021,"74787","UB",""
"CROZ","M","34-35",74990,"9E","UNK","INC",11/26/2021,"","",12/05/2021,"74990","UB","BB ONLY SEEN INC9 AND SUSPECT FLAGGING WHILE ONLY UB ON; MAYBE NOT A BREEDER, BB SEEN AROUND NOT ON NEST DURING SEASON"
"CROZ","M","32",75295,"9E","UNK","INC",11/20/2021,"","",11/20/2021,"75295","UB","INC9 RECORD SAME DAY AS SC STATUS WHEN GPSD - NOT A BREEDER, BB SEEN THROUGHOUT SEASON"
"CROZ","B","",79191,"1E","CR1?","G",01/03/2022,"GF2","",01/07/2022,"79191","UB",""
"CROZ","M","34-35",79370,"2E","FAIL","BR",12/25/2021,"OR","",12/29/2021,"79370","UB",""
"CROZ","B","BCITY",79472,"1E","CR1?","BR",01/03/2022,"MEL1","",01/07/2022,"79472","UB",""
